,,Availability,ActivationDw,ActivationUp
2023,653,9.48,39.6,60.89
2023,654,7.77,15.77,52.22
2023,655,9.35,36.33,58.41
2023,656,8.88,44.9,81.9
2023,657,17.06,42.33,72.9
2023,658,12.64,24.2,55.97
2023,659,11.49,10.15,47.08
2023,660,7.93,0.01,16.8
2023,661,0.84,0.01,16.22
2023,662,8.47,0.23,7.01
2023,663,9.72,0.01,29.38
2023,664,9.72,11.21,40.58
2023,665,9.72,31,69.46
2023,666,1.05,46.27,96.73
2023,667,8.44,47.83,82.81
2023,668,0.92,40.83,84.56
2023,669,9.88,41.07,38.85
2023,670,10.11,57.19,94.48
2023,671,10.78,60.8,91.1
2023,672,9.93,44.16,94.86
2023,673,9.62,43.2,92.58
2023,674,0.96,72.55,73.73
2023,675,0.93,42.3,88.83
2023,676,0.96,41.4,83.01
2023,677,0.95,40.33,34.36
2023,678,0.97,38.7,27.69
2023,679,9.17,33.88,54.42
2023,680,9.05,38.68,65.73
2023,681,0.98,25.81,77.05
2023,682,10.89,7.38,29.06
2023,683,10.73,0.08,45.16
2023,684,9.98,0.1,62.75
2023,685,9.71,16.73,60.06
2023,686,0.1,37.93,74.2
2023,687,12.48,36.96,63.4
2023,688,13.11,43.82,70.49
2023,689,0.75,53.55,97.98
2023,690,4.25,67.52,41.71
2023,691,0.87,83.64,38.12
2023,692,8.17,88.5,50.05
2023,693,7.74,105.71,83.4
2023,694,5.71,77.52,110.21
2023,695,6.27,76.1,98.74
2023,696,8.36,101.77,59.95
2023,697,3.82,107.64,122.33
2023,698,4.47,130.6,122.88
2023,699,4.47,115.71,113.93
2023,700,5.07,86.13,106.05
2023,701,0.75,100.81,97.41
2023,702,5.55,77.33,84.74
2023,703,5.06,85.54,132.15
2023,704,6.32,173.1,144.27
2023,705,6.21,107.54,141.96
2023,706,3.72,99.02,105.52
2023,707,4.47,72.33,31.83
2023,708,3.98,45,89.82
2023,709,4.22,74.56,52.48
2023,710,0.72,82.12,102.55
2023,711,13.44,55.48,105.58
2023,712,12.36,53.01,48.17
2023,713,3.72,73.91,93.55
2023,714,3.72,96.58,45.11
2023,715,8.73,105.12,83.85
2023,716,6.18,108.05,136.7
2023,717,5.08,155.94,171.12
2023,718,3.62,100.01,123.33
2023,719,3.48,97.31,92.98
2023,720,0.04,70.32,65.52
2023,721,3.36,87.64,109.61
2023,722,4.12,98.06,112.02
2023,723,4.95,86.34,81.83
2023,724,4.25,80.94,51.61
2023,725,4.25,88.95,111
2023,726,0.44,45.3,102.12
2023,727,3.98,64,75.37
2023,728,5.11,86.63,115.64
2023,729,4.42,59.32,114.52
2023,730,5.71,37.88,112.12
2023,731,5.75,80.46,74
2023,732,4.25,85.07,105.61
2023,733,7.22,86.37,106.06
2023,734,6.57,82.17,102.43
2023,735,4.25,80,106.52
2023,736,4.47,49.06,75.3
2023,737,4.32,74.44,118.32
2023,738,6.57,81.96,144.49
2023,739,10.32,96.81,114.74
2023,740,10.79,113.9,176.73
2023,741,8.09,137.41,164.42
2023,742,4.51,97.29,127.41
2023,743,3.22,76.82,121.04
2023,744,3.66,74.88,94.14
2023,745,5.17,63.78,56.33
2023,746,7.23,44.92,69.08
2023,747,0.07,52.53,97.92
2023,748,6.38,83.69,101.72
2023,749,0.85,53.63,99.88
2023,750,5.06,33.35,79.54
2023,751,3.71,68.83,91.16
2023,752,6.17,90.39,117.22
2023,753,0.62,64.54,121.65
2023,754,8.62,31.79,77.43
2023,755,1.49,21.23,106.15
2023,756,13.77,74.25,80.35
2023,757,11.37,94.36,105.14
2023,758,12.82,89.59,98.67
2023,759,13.11,111.97,98.03
2023,760,1.47,29.98,68.54
2023,761,3.92,50.47,122.07
2023,762,7.14,83.3,129.76
2023,763,7.22,125.24,154.44
2023,764,5.96,151.88,178.65
2023,765,4.32,107.61,159.83
2023,766,3.61,82.62,123.69
2023,767,3.71,65.52,125.09
2023,768,0.28,88.61,118.96
2023,769,2.51,87.72,108.82
2023,770,4.25,89.08,82.13
2023,771,4.25,88.67,84.14
2023,772,4.25,93.17,112.93
2023,773,0.33,87.12,130.06
2023,774,3.24,83.6,125.57
2023,775,2.08,96.24,127.96
2023,776,7.61,105.29,154.04
2023,777,4.93,93.66,112.05
2023,778,3.35,68.99,130.2
2023,779,0.25,91.52,121.31
2023,780,0.23,88.56,116.88
2023,781,1.81,108.48,122.98
2023,782,3.22,131.82,136.17
2023,783,2.89,114.29,137.78
2023,784,4.31,93.42,129.36
2023,785,3.34,81.39,131.15
2023,786,5.69,107.42,94.41
2023,787,2.08,144.48,141.17
2023,788,4.09,126.29,71.45
2023,789,2.02,94.79,122.06
2023,790,1.46,101.39,128.08
2023,791,1.18,106.72,121.88
2023,792,3.22,114.91,141.19
2023,793,3.15,104.31,133.65
2023,794,2.59,112.45,122.79
2023,795,3.58,104.86,119.3
2023,796,3.68,111.38,126.4
2023,797,4.21,103.08,125.53
2023,798,3.79,93.46,147.12
2023,799,4.96,112.46,127.64
2023,800,5.49,140.93,161.01
2023,801,5.31,80.71,132.79
2023,802,4.85,90.38,130.56
2023,803,3.84,97.05,132.35
2023,804,3.22,119.8,140.02
2023,805,3.84,103.37,137.57
2023,806,3.22,108.72,139.67
2023,807,0.03,116.51,125.48
2023,808,3.94,77.31,127.11
2023,809,4.35,79.85,130.38
2023,810,3.56,102.4,135.19
2023,811,5.52,95.04,146.26
2023,812,5.74,105.46,88.35
2023,813,0.03,101.78,102.51
2023,814,4.01,98.04,130.25
2023,815,3.56,126.14,145.28
2023,816,3.52,108.25,130.35
2023,817,3.29,106.7,99.88
2023,818,3.31,109.05,135.46
2023,819,5.77,107.39,149.58
2023,820,3.44,94.95,43.94
2023,821,2.68,94.7,98.48
2023,822,2.52,98.65,65.07
